Italian,English
abbastanza,quite
tardi,late
bel,beautiful
cuore,heart
famiglia,family
far,to
stati,States
aiuto,Help
diavolo,Devil
nostri,our
col,with the
quasi,almost
polizia,police
capo,boss
avrebbe,it would have
quei,those
mie,my
tornare,return
però,However
contro,versus
viene,it is
mentre,while
scusa,sorry
sola,one
spero,hope
quelle,those
trovare,to find
giro,round
anch',too '
guerra,war
sue,its
bambino,child
strada,Street
vecchio,old
fratello,brother
acqua,water
stasera,tonight
pensavo,I thought
chiama,who loves
persona,person
vedi,you see
fu,it was
anno,year
vostra,your
veramente,really
finito,finished
marito,husband
minuti,minutes
giù,down
donne,women
bravo,good boy
bambini,children
ricordi,memories
quelli,those
state,been
ore,hours
stavo,I was
dovuto,due
nemmeno,not even
venuto,came
indietro,back
stessa,itself
importa,it matters
nessun,no
punto,point
invece,instead
perso,lost
possibile,possible
ucciso,killed
forte,strong
pensato,thought
dovrebbe,it should
pensa,thinks
poco,little
parla,speaks
farò,lighthouse
cercando,looking for
l,L
verità,truth
andato,went
quell',that'
re,king
fanno,they do
potrei,I could
importante,important
quest',quest '
amo,love you
chiesto,asked
cosi,so
nelle,in
felice,happy
piedi,feet
merda,shit
piccolo,small
prendi,take
dietro,behind
sapevo,I knew
buongiorno,good morning
passato,past
dollari,dollars
com',com '
pure,mashed potato
pensare,to think
cinque,five
vicino,close
uscire,go out
conosco,I know
verso,towards
altre,other
quattro,four
morire,to die
sangue,blood
John,John
eri,you was
almeno,at least
dica,tell
lascia,leaves
vivere,live
colpa,fault
portato,brought
entrare,to come in
ricordo,I remember
pace,peace
roba,stuff
Jack,Jack
migliore,best
fate,you do
difficile,difficult
settimana,week
ultima,latest
dovrei,I should
fatta,done
conto,bill
stanza,room
fra,between
comunque,However
sentire,feel
numero,number
parlato,spoken
mente,mind
messo,put
strano,strange
fortuna,luck
perdere,to lose
tue,your
né,neither
figlia,daughter
molti,lot of
volete,want
dottor,Dr.
parola,word
signori,gentlemen
andata,going
vista,view
vede,sees
nessuna,none
finché,as long as
dare,give
dammi,give me
Mr.,Mr.
mesi,months
fuoco,fire
voleva,He wanted
mangiare,to eat
lasciato,left
figli,sons
serio,serious
paese,country
farà,will make
capire,to understand
mezzo,half
prova,test
cara,Dear
perche',because'
cane,dog
dimmi,tell me
fossi,I
senso,sense
James,James
riesco,I can
ieri,yesterday
possa,can
potuto,could
scuola,school
S.,S.
possono,can
lavorare,to work
significa,it means
resto,rest
vada,go
piccola,small
pare,apparently
bere,drinking
ben,well
cena,dinner
giovane,young
problemi,problems
quanti,How many
gran,great
attimo,moment
ascolta,listen
agli,to
dovresti,you should
corpo,body
musica,music
gioco,game
qual,what
aria,air
sarò,I'll be
farmi,me
magari,maybe
davanti,in front of
new,new
chiamo,call
genere,kind
libro,book
domanda,demand
chiamato,called
passare,to pass
dalle,give her
campo,field
lungo,long
torna,returns
paio,pair
stava,he was
finita,over
saranno,they will be
vogliono,they want
hey,hey
cielo,sky
parole,words
auto,car
sorella,sister
nuova,new
stia,is
signorina,young lady
festa,party
spiace,sorry
sopra,over it
bisogna,need
vuol,wants
telefono,phone
affari,business
facile,easy
parlando,speaking
caro,Dear
sui,on
pronti,ready
restare,to remain
attenzione,caution
crede,you think
nostre,our
controllo,control
molte,many
unica,only
dovremmo,we should
farti,you
soltanto,only
piu',more'
buono,good
puttana,bitch
vivo,I live
sappiamo,we know
luce,light
generale,general
qualsiasi,any
vogliamo,we want
ultimo,last
dicono,they say
benissimo,very well
Harry,Harry
foto,photo
unico,single
onore,honor
ragazze,girls
scritto,written
andate,go
tieni,keep
siano,are
ufficio,office
entra,come in
chiedo,I ask
coraggio,courage
andando,going
venga,come
dieci,ten
credevo,I thought
voglia,wish
potremmo,we could
esatto,exact
credere,to believe
tratta,is
eravamo,we were
arrivato,arrived
bambina,child
pistola,gun
voce,voice
dormire,to sleep
lasci,leave
avessi,I had
chiaro,clear
aspetto,appearance
squadra,team
attento,careful
cerca,search for
ordine,order
Joey,Joey
arrivederci,see you later
arriva,arrives
armi,weapons
sulle,on
ormai,by now
maggiore,greater
fretta,hurry
sarai,you will be
sacco,bag
fatti,facts
York,York
parli,you speak
colpo,blow
sarei,I would be
m',m '
caffè,coffee
capisci,Do you understand
dicendo,saying
vostri,your
camera,room
alcuni,some
cercare,search for
arrivo,arrival
aspettare,wait
situazione,situation
faremo,we will
deciso,decided
esattamente,exactly
dev',dev '
addio,goodbye
scena,scene
inglese,English
perfetto,perfect
potete,you can
fammi,let me
alto,high
dello,of the
prendo,I take
conosci,know
be',be '
sapete,you know
pazzo,crazy
chiami,who do you Love
tornato,got back
sicura,safety
lasciare,to leave
capelli,hair
potere,power
avevi,you had
morti,dead
avrà,will
fantastico,fantastic
matrimonio,marriage
passo,step
portare,bring
aspetti,wait
torno,I return
arrivare,arrive
guai,trouble
trova,find
motivo,reason
resta,remains
inizio,Start
smettila,stop that
diventare,become
potresti,could
n',No '
voluto,would
vanno,they go
disse,She said
morta,dead
de,de
bagno,bathroom
zio,uncle
futuro,future
sbagliato,mistaken
guardi,look
cosi',so'
sicurezza,safety
pezzo,piece
devono,must
venuta,coming
allo,the
tenente,lieutenant
silenzio,silence
porto,port
uccidere,kill
odio,hate
sull',on '
giocare,play
lontano,far
durante,during
segreto,secret
sole,Sun
mettere,to put
venite,you come
dirmi,tell me
sistema,system
viaggio,travel
causa,cause
r,r
comandante,commander
settimane,weeks
semplice,simple
minuto,minute
divertente,funny
avresti,you would have
grandi,great
presidente,president
bocca,mouth
permesso,permit
vecchia,old
culo,ass
sogno,dream
glielo,him
c,c
guardare,to watch
probabilmente,probably
vengo,I come
lasciami,leave me
ie,ie
negli,in
do,do
fermo,stationary
zitto,Shut up
vera,real
tante,many
ln,ln
colonnello,colonel
stupido,stupid
Cristo,Christ
conosce,know
fame,hunger
cura,care
prigione,prison
finire,to finish
farai,do
d,d
buonanotte,good night
Tom,Tom
prossima,next
brava,good
specie,species
prende,he takes
piacerebbe,would like
circa,about
funziona,it works
dovete,you have to
brutto,ugly
vattene,get out
sente,hears
cavallo,horse
peccato,sin
mattina,morning
consiglio,Advice
cambiare,to change
saperlo,know
usare,use
naturalmente,of course
continua,keep it going
scelta,choice
possibilità,possibility
spesso,often
dà,from
dirti,tell you
piuttosto,Rather
trovo,I find
fondo,background
ricorda,remember
guardate,watch
ospedale,Hospital
qualunque,whatever
Maria,Mary
andrà,will
legge,law
agente,agent
oltre,over
avesse,had
servizio,service
tanti,many
messaggio,message
giornata,day
faceva,it was
energia,power
incredibile,unbelievable
sala,room
mandato,mandate
chiamare,to call
doveva,where you go
libero,free
aereo,plane
ricevuto,received
porti,ports
preoccuparti,worry
uh,uh
finalmente,long last
quali,Which
stronzo,asshole
mostro,monster
sette,seven
pronta,ready
metti,put
Henry,Henry
programma,program
poteva,he could
parti,set off
saputo,known
partita,game
gentile,kind
poter,can
freddo,cold
s',s'
piacciono,like
Clark,Clark
vederti,see you
domande,questions
peggio,worse
sanno,know
genitori,parents
amica,friend
solito,usual
anima,soul
terribile,terrible
buonasera,good evening
oro,gold
occhio,eye
si',Yes'
radio,radio
quante,how much it is
pieno,full
rapporto,relationship
avrai,you will have
alcune,some
provare,try out
carino,cute
scoperto,discovered
America,America
denaro,money
compagnia,company
interessante,Interesting
avvocato,lawyer
t',t '
vestito,dress
ottimo,great
avevano,they had
esercito,army
vestiti,clothes
treno,train
succedendo,happening
mese,month
impossibile,impossible
chiunque,anyone
vale,worth
nello,in
milioni,millions
cibo,food
tempi,times
jim,jim
piu,more
laggiù,over there
intorno,around
servono,serve
chiave,key
coi,with
diritto,right
dimenticato,Forgot
ve,you
natale,Christmas
calma,calm
altrimenti,otherwise
t,t
Miss,Miss
provato,tried
dirlo,tell
cinema,cinema
chiedere,to ask
ritardo,delay
realtà,reality
mare,sea
maestro,master
TV,TV
pagare,to pay
pianeta,planet
fronte,front
addosso,on
entrambi,both of them
dia,dia
cambiato,changed
interessa,interest
assolutamente,absolutely
risposta,answer
rispetto,respect
pena,punishment
Gesù,Jesus
Michael,Michael
incontro,meeting
cercato,looked for
occhiata,look
pensando,thinking
cioè,that is
the,the
notizie,news
sorpresa,surprise
bastardo,Bastard
salute,health
lettera,letter
incidente,accident
grosso,big
soli,just
mica,not
sembrava,It seemed
grado,degree
aiutare,to help
sinistra,left
dovevo,I had to
contento,happy
canzone,song
sapeva,He knew
santo,holy
verrà,it will come
saremo,we will be
speciale,special
diceva,he said
posizione,position
gruppo,group
giuro,I swear
